City Name,Zone Name,Ward Name,Ward No.,Total no. of Households,,,,,,,,,,,,,,,
Agra,Chatta,Kajipara,1,3636,,,,,,,,,,,,,,,
Agra,Tajganj,Gummat Takh Pahalwan,2,3872,,,,,,,,,,,,,,,
Agra,Lohamandi,Jagdish Pura,3,4297,,,,,,,,,,,,,,,
Agra,Tajganj,Sewla Jat,4,4115,,,,,,,,,,,,,,,
Agra,Tajganj,Himachal Colony,5,5109,,,,,,,,,,,,,,,
Agra,Hariparwat,Jagdish Pura Purv,6,4595,,,,,,,,,,,,,,,
Agra,Lohamandi,Khatena,7,3155,,,,,,,,,,,,,,,
Agra,Tajganj,Idgah,8,2495,,,,,,,,,,,,,,,
Agra,Lohamandi,Ghas Ki Mandi,9,3656,,,,,,,,,,,,,,,
Agra,Lohamandi,Prakash Nagar,10,3747,,,,,,,,,,,,,,,
Agra,Hariparwat,Charsu Darwaza,11,1983,,,,,,,,,,,,,,,
Agra,Lohamandi,Nagla Mohan,12,3500,,,,,,,,,,,,,,,
Agra,Hariparwat,Nagla Harmuk,13,3173,,,,,,,,,,,,,,,
Agra,Chatta,Kachpura,14,6834,,,,,,,,,,,,,,,
Agra,Tajganj,Saray Malukchand,15,3674,,,,,,,,,,,,,,,
Agra,Chatta,Dholikhar,16,2530,,,,,,,,,,,,,,,
Agra,Chatta,Ratanpura,17,3561,,,,,,,,,,,,,,,
Agra,Lohamandi,Rajnagar,18,2849,,,,,,,,,,,,,,,
Agra,Tajganj,Bundu Katra,19,3205,,,,,,,,,,,,,,,
Agra,Chatta,Freeganj,20,1798,,,,,,,,,,,,,,,
Agra,Lohamandi,Barah Kambha,21,2804,,,,,,,,,,,,,,,
Agra,Tajganj,Souhalla,22,1984,,,,,,,,,,,,,,,
Agra,Tajganj,Mohanpura,23,1924,,,,,,,,,,,,,,,
Agra,Lohamandi,Gadhi Bhadouriya,24,4853,,,,,,,,,,,,,,,
Agra,Chatta,Bag Muzaffar Khan,25,3084,,,,,,,,,,,,,,,
Agra,Hariparwat,Jageshwar Nagar,26,1664,,,,,,,,,,,,,,,
Agra,Lohamandi,Ajeet Nagar,27,3132,,,,,,,,,,,,,,,
Agra,Chatta,Nayi Ki Saray,28,8388,,,,,,,,,,,,,,,
Agra,Hariparwat,Khandari,29,2968,,,,,,,,,,,,,,,
Agra,Lohamandi,Ram Nagar,30,5050,,,,,,,,,,,,,,,
Agra,Hariparwat,Lawyers Colony,31,5528,,,,,,,,,,,,,,,
Agra,Chatta,Dera Saras,32,1872,,,,,,,,,,,,,,,
Agra,Tajganj,Dhandhupura,33,5211,,,,,,,,,,,,,,,
Agra,Lohamandi,Bhogipura,34,3491,,,,,,,,,,,,,,,
Agra,Tajganj,Mustafa Quarter,35,1839,,,,,,,,,,,,,,,
Agra,Tajganj,Mahadev Nagar,36,6394,,,,,,,,,,,,,,,
Agra,Lohamandi,Nagla Ajeeta,37,3758,,,,,,,,,,,,,,,
Agra,Hariparwat,Gailana,38,2322,,,,,,,,,,,,,,,
Agra,Tajganj,Namner,39,2368,,,,,,,,,,,,,,,
Agra,Tajganj,Baluganj,40,1870,,,,,,,,,,,,,,,
Agra,Lohamandi,Azampara,41,5540,,,,,,,,,,,,,,,
Agra,Chatta,Bhagwati Bag,42,2006,,,,,,,,,,,,,,,
Agra,Hariparwat,Ghatwasan,43,3978,,,,,,,,,,,,,,,
Agra,Tajganj,Katra Fulel,44,2613,,,,,,,,,,,,,,,
Agra,Lohamandi,Ashok Nagar,45,2903,,,,,,,,,,,,,,,
Agra,Lohamandi,Avas Vikas Poorva,46,2966,,,,,,,,,,,,,,,
Agra,Hariparwat,Ghatiya Azam Khan,47,2158,,,,,,,,,,,,,,,
Agra,Tajganj,Naripura,48,4026,,,,,,,,,,,,,,,
Agra,Lohamandi,Rahul Nagar,49,5746,,,,,,,,,,,,,,,
Agra,Chatta,Sita Nagar,50,4264,,,,,,,,,,,,,,,
Agra,Hariparwat,Vijay Nagar,51,2373,,,,,,,,,,,,,,,
Agra,Hariparwat,Dev Nagar,52,4197,,,,,,,,,,,,,,,
Agra,Chatta,Mantola,53,1927,,,,,,,,,,,,,,,
Agra,Chatta,Trans Yamuna Colony,54,3624,,,,,,,,,,,,,,,
Agra,Chatta,Shahdara,55,4934,,,,,,,,,,,,,,,
Agra,Hariparwat,Lohiya Nagar,56,3693,,,,,,,,,,,,,,,
Agra,Tajganj,Ukharra,57,6378,,,,,,,,,,,,,,,
Agra,Chatta,Narayach Pachim,58,5333,,,,,,,,,,,,,,,
Agra,Chatta,Narayach Poorva,59,5717,,,,,,,,,,,,,,,
Agra,Tajganj,Khwaspura,60,3614,,,,,,,,,,,,,,,
Agra,Hariparwat,Sarla Bag,61,4271,,,,,,,,,,,,,,,
Agra,Tajganj,Telipara,62,2757,,,,,,,,,,,,,,,
Agra,Tajganj,Chavali,63,2083,,,,,,,,,,,,,,,
Agra,Chatta,Belanganj,64,5000,,,,,,,,,,,,,,,
Agra,Chatta,Prakash Nagar,65,2470,,,,,,,,,,,,,,,
Agra,Chatta,Nawal Ganj,66,5110,,,,,,,,,,,,,,,
Agra,Lohamandi,Alvatiya,67,3576,,,,,,,,,,,,,,,
Agra,Chatta,Noori Darwaza,68,2331,,,,,,,,,,,,,,,
Agra,Lohamandi,Awas Vikas South,69,3159,,,,,,,,,,,,,,,
Agra,Tajganj,Tal Firoz Khan,70,3099,,,,,,,,,,,,,,,
Agra,Hariparwat,Nagla Padi,71,4172,,,,,,,,,,,,,,,
Agra,Tajganj,Nagla Mewati,72,1892,,,,,,,,,,,,,,,
Agra,Hariparwat,Sikandra,73,2626,,,,,,,,,,,,,,,
Agra,Lohamandi,Jaipur House,74,4172,,,,,,,,,,,,,,,
Agra,Lohamandi,Awas Vikas West,75,7503,,,,,,,,,,,,,,,
Agra,Lohamandi,Dhakran,76,2638,,,,,,,,,,,,,,,
Agra,Lohamandi,Kedar Nagar,77,1808,,,,,,,,,,,,,,,
Agra,Tajganj,Shaheed Nagar,78,3506,,,,,,,,,,,,,,,
Agra,Chatta,Motiganj,79,812,,,,,,,,,,,,,,,
Agra,Hariparwat,Jatpura,80,1449,,,,,,,,,,,,,,,
Agra,Hariparwat,Kamla Nagar,81,3115,,,,,,,,,,,,,,,
Agra,Hariparwat,Bheem Nagar,82,2973,,,,,,,,,,,,,,,
Agra,Chatta,Tedi Bagiya,83,2149,,,,,,,,,,,,,,,
Agra,Lohamandi,Raja Mandi,84,2457,,,,,,,,,,,,,,,
Agra,Hariparwat,Kaveri Kunj,85,4134,,,,,,,,,,,,,,,
Agra,Lohamandi,Khati Para,86,3188,,,,,,,,,,,,,,,
Agra,Hariparwat,Bhood Ka Bag,87,5742,,,,,,,,,,,,,,,
Agra,Tajganj,Hajjupura,88,2311,,,,,,,,,,,,,,,
Agra,Lohamandi,Rammohan Nagar,89,4260,,,,,,,,,,,,,,,
Agra,Hariparwat,Balkeshwar,90,3598,,,,,,,,,,,,,,,
Agra,Chatta,Rawatpara,91,6502,,,,,,,,,,,,,,,
Agra,Hariparwat,Wajirpura,92,5733,,,,,,,,,,,,,,,
Agra,Hariparwat,Kamla Nagar,93,3096,,,,,,,,,,,,,,,
Agra,Hariparwat,Bagh Farzana,94,2594,,,,,,,,,,,,,,,
Agra,Chatta,Dhankot,95,1547,,,,,,,,,,,,,,,
Agra,Hariparwat,Maharshipuram,96,4464,,,,,,,,,,,,,,,
Agra,Tajganj,Gover Chawki,97,3142,,,,,,,,,,,,,,,
Agra,Tajganj,Vibhav Nagar,98,2634,,,,,,,,,,,,,,,
